scenario_id,stack,model,mode,thinking,cache_strategy,prompt_type,samples,ok_count,unsupported_count,error_count,ttft_p50_s,ttft_p95_s,ttft_p99_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,tokens_per_s_avg,unsupported_reason_example,error_example
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,short_prompt,20,20,0,0,1.433666789499739,1.9711602752001685,2.1059816182399524,1.4338333894997959,1.971292807250211,2.106200563049933,2.023018061324387,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,False,none,short_prompt,20,20,0,0,1.486721054499867,2.0070720570496414,2.940542833009816,1.487701371499952,2.007330932599667,2.9406973689197486,1.9378975976814332,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,True,none,short_prompt,20,20,0,0,1.5356163164999543,1.8487781053000618,1.92618125225983,1.5357487184996899,1.8489386784998942,1.9263547940997205,1.990470469224666,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,short_prompt,20,20,0,0,1.535718023500067,1.9345241508502573,2.6562077149700314,1.535921938499996,1.9346778412999364,2.6563649538598555,1.9206309260909102,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,long_context,20,20,0,0,1.536235122500102,2.4006366178001604,3.10120897716008,1.5363962189999256,2.4007924561002265,3.1013394968200547,2.488402335633972,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,implicit_reuse,short_prompt,20,20,0,0,1.791176314500035,2.1499303775499357,2.150000032309799,1.7914270475000649,2.1501814680500044,2.1504370264096813,1.740767349256948,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_none|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,none,short_prompt,20,20,0,0,1.805016416999706,2.4738300595500733,2.7073657711100343,1.805223450999847,2.4741700653999716,2.7077834314798697,1.573010633324443,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|long_context,openai_compat,gemini-2.5-flash,streaming,True,implicit_reuse,long_context,20,20,0,0,1.843228509499795,2.049797433499839,2.1216690450998565,1.8434024974999375,2.049971737449687,2.121902293889816,1.8153834283073629,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|long_context,openai_compat,gemini-2.5-flash,streaming,False,implicit_reuse,long_context,20,20,0,0,1.8437924499996825,2.165890247050061,2.397725709409892,1.8442261939999298,2.1661437540000184,2.397951338799862,1.7820407861383096,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,implicit_reuse,short_prompt,20,20,0,0,1.8484076354998251,2.9023380370001184,3.4469337602000807,1.8486317004999364,2.9025428612999353,3.447164657059965,1.4989176239311695,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,long_context,20,20,0,0,1.9219070730000567,2.6978252781502086,3.1185807516303923,1.9280528179999692,2.698189620300218,3.122132095260276,2.0988297573767363,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_none|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,none,short_prompt,20,20,0,0,1.9451616165001724,2.313177246150213,3.243130576430306,1.9453874155001358,2.3134560686500216,3.2434334073302384,1.7494586141904258,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,False,none,long_context,20,20,0,0,1.9456978495002204,2.283856846850087,4.307278078170108,1.9458381135000309,2.283997385399859,4.307403440280015,1.94493208986276,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,True,none,long_context,20,20,0,0,1.9970224445000895,2.278482198400093,2.6676743132799894,1.9971734765001656,2.278603716800149,2.6678226809601933,1.5069153387956808,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_none|long_context,openai_compat,gemini-2.5-flash,streaming,True,none,long_context,20,20,0,0,2.2494601465000414,2.4683510877496477,2.6257052839497685,2.2497177410000404,2.468528233049665,2.625924689809735,1.2382023331259835,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_none|long_context,openai_compat,gemini-2.5-flash,streaming,False,none,long_context,20,20,0,0,2.252193073500166,2.4955530779497623,2.5465068667901414,2.252416053000161,2.495833737200178,2.546781556240098,1.179659159941486,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,short_prompt,20,0,20,0,,,,,,,,no_shared_prefix_for_explicit_cache,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,long_context,20,0,20,0,,,,,,,,explicit_cache_create_failed:ClientError,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,short_prompt,20,0,20,0,,,,,,,,no_shared_prefix_for_explicit_cache,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,long_context,20,0,20,0,,,,,,,,explicit_cache_create_failed:ClientError,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,explicit_cache,short_prompt,20,0,20,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|long_context,openai_compat,gemini-2.5-flash,streaming,False,explicit_cache,long_context,20,0,20,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,explicit_cache,short_prompt,20,0,20,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|long_context,openai_compat,gemini-2.5-flash,streaming,True,explicit_cache,long_context,20,0,20,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
