scenario_id,stack,model,mode,thinking,cache_strategy,prompt_type,samples,ok_count,unsupported_count,error_count,ttft_p50_s,ttft_p95_s,ttft_p99_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,tokens_per_s_avg,unsupported_reason_example,error_example
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,short_prompt,50,50,0,0,1.5356396315000893,1.945316218149992,2.258010944349716,1.5359068050001952,1.9454504092498608,2.258193916160134,1.9603779794293827,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,True,none,short_prompt,50,50,0,0,1.5364648345002934,1.947584677900704,2.150884129479809,1.5367129549999845,1.9477701467998938,2.1510891147897375,1.9143904919718633,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,False,none,short_prompt,50,50,0,0,1.5426780435000182,1.899872518250231,2.6209350667701337,1.5428150550001192,1.9000264181002873,2.6791201485900813,1.8935598207507425,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,long_context,50,50,0,0,1.6375101855001049,2.033543838849845,2.7748625065504697,1.6376654219998272,2.034976040599985,2.7750508627003074,2.5829905449365316,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,long_context,50,50,0,0,1.6425695329999144,2.332064509849851,2.4390110816901505,1.643763578999824,2.332260681349953,2.439122893850299,2.4717742728262904,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,short_prompt,50,50,0,0,1.6445970619997752,2.2549517122497944,2.416286039469978,1.6447164259998317,2.258609286149704,2.416402278630012,1.7954626079189127,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,True,none,long_context,50,50,0,0,2.0479424425002435,2.5371030269498984,3.3693278352299947,2.048124800000096,2.5373670819498324,3.3695364601499365,1.624246060314997,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,False,none,long_context,50,50,0,0,2.113375756000096,3.158877381099635,3.5851716808397756,2.1135779700002786,3.1591168561998053,3.5853400203700216,1.7985299051499068,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,short_prompt,50,0,50,0,,,,,,,,no_shared_prefix_for_explicit_cache,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,long_context,50,0,50,0,,,,,,,,explicit_cache_create_failed:ClientError,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,short_prompt,50,0,50,0,,,,,,,,no_shared_prefix_for_explicit_cache,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,long_context,50,0,50,0,,,,,,,,explicit_cache_create_failed:ClientError,
