scenario_id,stack,model,mode,thinking,cache_strategy,prompt_type,samples,ok_count,unsupported_count,error_count,ttft_p50_s,ttft_p95_s,ttft_p99_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,tokens_per_s_avg,unsupported_reason_example,error_example
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,False,none,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,False,none,long_context,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,long_context,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,long_context,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,True,none,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,True,none,long_context,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,long_context,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,long_context,1,0,0,1,,,,,,,,,RuntimeError: google-genai is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_none|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,none,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_none|long_context,openai_compat,gemini-2.5-flash,streaming,False,none,long_context,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,implicit_reuse,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|long_context,openai_compat,gemini-2.5-flash,streaming,False,implicit_reuse,long_context,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,explicit_cache,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|long_context,openai_compat,gemini-2.5-flash,streaming,False,explicit_cache,long_context,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_none|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,none,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_none|long_context,openai_compat,gemini-2.5-flash,streaming,True,none,long_context,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,implicit_reuse,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|long_context,openai_compat,gemini-2.5-flash,streaming,True,implicit_reuse,long_context,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,explicit_cache,short_prompt,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|long_context,openai_compat,gemini-2.5-flash,streaming,True,explicit_cache,long_context,1,0,0,1,,,,,,,,,RuntimeError: openai package is not installed.
